@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute class {'1','2'}
@data
51.9322,73.4084,40.7545,39.2474,68.7615,146.503,82.7021,65.2449,403.149,196.237,45.9038,32.5911,38.1171,69.515,45.0874,96.2661,'2'
81.1454,64.5723,40.1592,76.9112,65.8955,126.201,99.8357,70.1959,371.622,196.628,47.7346,20.5427,36.0242,72.6769,44.3273,134.338,'2'
47.9219,110.286,41.8824,81.0952,54.4865,168.974,87.3535,52.7359,308.538,230.857,51.0729,35.4491,46.5214,103.021,20,127.923,'2'
64.0147,95.6338,41.2712,77.328,87.2575,224.551,166.194,56.4151,429.631,288.898,57.1917,24.7405,30.5096,121.761,68.0642,171.963,'2'
75.2344,65.2923,28.4309,66.9784,73.9553,192.04,113.026,47.3267,435.767,181.342,71.3971,20,25.2332,94.2465,55.0595,152.387,'2'
20,65.3048,32.1881,62.4806,78.4199,93.2373,51.532,29.7121,262.689,102.871,37.2949,39.887,36.2117,79.9674,20,96.99,'2'
32.5666,40.0906,20,43.1975,31.3687,49.9354,47.0156,22.2351,344.419,161.373,42.8232,20,20,59.4433,20,76.625,'1'
22.872,88.2528,20,55.5624,20,194.951,74.1778,20,376.394,119.524,47.6168,25.8799,24.6313,87.4015,20,159.252,'1'
20,29.5877,20,21.1013,38.7163,44.6797,27.2941,20,164.269,126.424,25.0005,20,20,32.2024,20,51.056,'1'
43.2493,20,20,20,41.1898,45.08,20,20,172.883,65.1028,25.0572,20,20,20,20,20,'1'
23.5815,47.8003,21.0321,52.899,20.5223,54.9385,46.4619,49.1387,212.743,104.332,30.401,20,20,63.67,20,94.7084,'1'
62.583,27.341,38.482,33.5368,35.0715,61.2756,90.7198,76.9072,357.65,169.162,34.0483,20,20,56.5009,29.0462,98.3934,'1'
23.2719,35.4137,20,28.118,30.1416,31.473,24.4967,20,210.832,151.4,24.6032,20,20,31.473,20,62.2536,'1'
20,30.8567,20,27.9419,66.3872,60.9094,53.6224,20,280.123,123.226,33.7715,20,20,46.9887,20,66.8395,'1'
28.8809,41.5381,34.0569,35.5792,57.9359,55.0217,38.0585,34.3179,329.391,154.974,43.9303,20,20,72.2893,20,95.9073,'1'
22.8198,20,20,20,29.9562,31.3668,20,20,172.601,107.129,29.9562,20,20,20,20,28.1306,'1'
20.8475,42.1317,20,20,21.175,107.731,20,20,225.503,132.617,34.7095,20,20,36.8925,20,47.9166,'1'
20,25.1446,20,20,28.1186,20,42.4483,34.4048,309.575,119.504,34.8779,20,20,39.4743,20,44.003,'1'
20,24.5674,20,20,27.003,35.4745,23.1908,20.6493,192.198,99.4345,27.3207,20,20,20,20,41.8282,'1'
35.0258,30.6386,29.4616,35.8818,54.001,50.7553,67.7331,48.0445,242.898,123.125,42.1593,20,20,71.5852,23.9331,88.4918,'1'
29.0204,39.5911,20,20.5541,33.4738,40.0315,37.8783,20,153.666,160.713,26.5735,20,20,41.0592,20,89.4103,'1'
